room_type,neighbourhood_cleansed,latitude,longitude,price,last_review
Entire home/apt,South of Market,37.77462,-122.39221,360.0,2023-05-21
Private room,Outer Sunset,37.75602,-122.49306,89.0,2023-05-04
Entire home/apt,Bayview,37.73804,-122.39217,154.0,2023-05-28
Entire home/apt,Castro/Upper Market,37.76033,-122.43142,186.0,2023-05-19
Private room,Outer Sunset,37.75814,-122.48835,126.0,2023-04-29
Entire home/apt,South of Market,37.773018,-122.403236,265.0,2023-05-17
Entire home/apt,Potrero Hill,37.75883771650277,-122.40227331273454,176.0,2023-06-02
Entire home/apt,South of Market,37.773421446575306,-122.40460447724608,367.0,2023-05-17
Entire home/apt,Outer Mission,37.73018,-122.4325,106.0,2023-05-14
Entire home/apt,Nob Hill,37.79501,-122.41072,625.0,2023-05-16
Entire home/apt,Noe Valley,37.75521,-122.43032,400.0,2023-05-15
Private room,Outer Sunset,37.74944,-122.50557,89.0,2023-05-28
Private room,Western Addition,37.77365,-122.42373,303.0,2023-05-14
Entire home/apt,Marina,37.79849,-122.43022,590.0,2023-05-28
Entire home/apt,Noe Valley,37.74289340826195,-122.4285495461478,511.0,2023-05-21
Entire home/apt,Mission,37.75246,-122.40831,750.0,2023-05-19
Entire home/apt,Mission,37.75243,-122.42355,180.0,2023-04-09
Private room,Noe Valley,37.74269,-122.42855,65.0,2023-04-08
Private room,Bernal Heights,37.74189,-122.41902,82.0,2023-05-07
Private room,Nob Hill,37.79292,-122.41631,50.0,2023-03-31
Private room,Nob Hill,37.79172,-122.41912,60.0,2023-01-31
Entire home/apt,Castro/Upper Market,37.76018,-122.4402,656.0,2023-04-24
Private room,Noe Valley,37.74348,-122.4261,94.0,2023-05-19
Private room,Marina,37.80237,-122.42522,80.0,2023-05-17
Entire home/apt,Potrero Hill,37.75612,-122.40199,220.0,2023-05-30
Private room,South of Market,37.7748,-122.40895,178.0,2023-05-20
Private room,Nob Hill,37.79586,-122.41915,60.0,2023-05-31
Entire home/apt,Outer Sunset,37.75554,-122.50674,95.0,2023-05-30
Private room,Outer Sunset,37.75601,-122.49361,125.0,2023-05-25
Entire home/apt,Downtown/Civic Center,37.78838,-122.41015,220.0,2023-05-22
Entire home/apt,Downtown/Civic Center,37.7868,-122.41143,190.0,2023-02-17
Entire home/apt,Visitacion Valley,37.71799,-122.40414,422.0,2023-04-27
Entire home/apt,Haight Ashbury,37.77291,-122.45231,450.0,2023-05-06
Entire home/apt,Outer Sunset,37.74676,-122.48346,155.0,2023-04-05
Private room,Nob Hill,37.79249,-122.42137,120.0,2023-05-21
Entire home/apt,Potrero Hill,37.76065,-122.39706,749.0,2023-04-06
Entire home/apt,Bernal Heights,37.74448,-122.41699,484.0,2023-05-29
Entire home/apt,Noe Valley,37.75523,-122.43966,275.0,2023-01-10
Entire home/apt,Outer Sunset,37.7566,-122.48748,90.0,2023-03-12
Private room,Western Addition,37.78353,-122.44369,90.0,2023-03-31
Private room,Financial District,37.78931,-122.40588,141.0,2023-05-29
Entire home/apt,Potrero Hill,37.75622,-122.39821,255.0,2023-05-20
Entire home/apt,Outer Richmond,37.77547,-122.48116,82.0,2023-05-27
Private room,Haight Ashbury,37.77082,-122.44825,56.0,2023-05-13
Entire home/apt,Russian Hill,37.80463,-122.42012,270.0,2023-05-20
Entire home/apt,Western Addition,37.77025,-122.43231,750.0,2023-03-19
Entire home/apt,South of Market,37.77658,-122.40887,100.0,2023-04-21
Entire home/apt,Bayview,37.73818,-122.38691,330.0,2023-05-26
Private room,Castro/Upper Market,37.76864,-122.4283,90.0,2023-05-16
Entire home/apt,Noe Valley,37.75113,-122.43925,135.0,2023-04-30
Private room,Pacific Heights,37.79756,-122.42396,125.0,2023-05-20
Entire home/apt,Downtown/Civic Center,37.7892184017746,-122.41393090405523,316.0,2023-03-23
Entire home/apt,Potrero Hill,37.76553,-122.40025,259.0,2023-04-12
Entire home/apt,Downtown/Civic Center,37.78753,-122.40927,95.0,2023-04-05
Private room,Chinatown,37.7904,-122.40855,170.0,2023-05-29
Entire home/apt,Bernal Heights,37.74727,-122.41823,350.0,2023-03-07
Entire home/apt,Haight Ashbury,37.77279,-122.44738,125.0,2023-02-08
Entire home/apt,Potrero Hill,37.76266,-122.39335,296.0,2023-05-31
Entire home/apt,Mission,37.75673,-122.41835,133.0,2023-05-23
Entire home/apt,North Beach,37.80546569824219,-122.41677856445312,425.0,2023-01-12
Entire home/apt,Castro/Upper Market,37.75961,-122.43203,135.0,2023-05-31
Private room,Excelsior,37.7313,-122.41429,65.0,2023-06-01
Entire home/apt,North Beach,37.80473,-122.40918,139.0,2023-05-23
Entire home/apt,Nob Hill,37.7957,-122.41361,120.0,2023-04-22
Entire home/apt,Potrero Hill,37.75704,-122.4027,170.0,2023-03-11
Entire home/apt,Castro/Upper Market,37.76679,-122.43315,394.0,2023-04-26
Private room,Bernal Heights,37.73647,-122.42494,41.0,2023-04-22
Entire home/apt,Marina,37.79755,-122.42441,129.0,2023-05-12
Private room,Glen Park,37.74159,-122.43159,165.0,2023-05-30
Private room,Russian Hill,37.80492,-122.41994,120.0,2023-05-07
Shared room,Marina,37.79981,-122.42657,46.0,2023-05-09
Entire home/apt,Downtown/Civic Center,37.78857061702918,-122.41403104491046,547.0,2023-04-27
Private room,Mission,37.75122,-122.40725,110.0,2023-05-28
Private room,North Beach,37.79959,-122.40639,99.0,2023-05-28
Entire home/apt,Noe Valley,37.74561,-122.43294,830.0,2023-04-29
Entire home/apt,South of Market,37.775085,-122.407234,439.0,2023-03-27
Entire home/apt,Bernal Heights,37.7472,-122.41402,307.0,2023-05-31
Private room,Mission,37.75848,-122.40677,113.0,2023-06-02
Entire home/apt,Nob Hill,37.78916,-122.4218,119.0,2023-01-31
Private room,Downtown/Civic Center,37.78543,-122.41439,87.0,2023-05-20
Entire home/apt,Bernal Heights,37.74062,-122.41069,375.0,2023-05-25
Entire home/apt,Marina,37.80494,-122.44457,335.0,2023-02-22
Entire home/apt,Financial District,37.78954,-122.39791,140.0,2023-04-04
Entire home/apt,Mission,37.75735,-122.40628,202.0,2023-04-30
Private room,Outer Richmond,37.77939,-122.49544,80.0,2023-05-20
Entire home/apt,Ocean View,37.71974,-122.46515,168.0,2023-05-31
Private room,Downtown/Civic Center,37.7863,-122.41617,90.0,2023-05-27
Entire home/apt,Western Addition,37.77882,-122.43754,174.0,2023-05-26
Entire home/apt,Ocean View,37.71705136695618,-122.45904706238998,154.0,2023-05-02
Private room,South of Market,37.77572,-122.40955,99.0,2023-05-15
Private room,Outer Sunset,37.74698,-122.50763,103.0,2023-06-02
Entire home/apt,Noe Valley,37.74231,-122.42687,240.0,2023-05-19
Entire home/apt,Nob Hill,37.79554,-122.41966,165.0,2023-04-06
Entire home/apt,Potrero Hill,37.75664,-122.40196,165.0,2023-04-30
Private room,Noe Valley,37.75464,-122.43863,470.0,2023-05-20
Entire home/apt,Outer Sunset,37.74631,-122.50614,120.0,2023-05-27
Private room,Excelsior,37.71932,-122.43664,54.0,2023-05-21
Private room,Western Addition,37.78284,-122.43042,120.0,2023-05-27
Entire home/apt,Downtown/Civic Center,37.7799,-122.4225,101.0,2023-03-02
Entire home/apt,Noe Valley,37.74551,-122.43283,135.0,2023-05-26
Entire home/apt,Inner Sunset,37.76604,-122.45308,145.0,2023-05-28
Entire home/apt,Potrero Hill,37.76073,-122.39041,210.0,2023-04-23
Private room,Mission,37.75605,-122.4112,70.0,2023-03-01
Entire home/apt,Downtown/Civic Center,37.77777,-122.42196,60.0,2023-04-13
Entire home/apt,Bernal Heights,37.74029,-122.41982,560.0,2023-05-22
Entire home/apt,Bernal Heights,37.73483,-122.41838,411.0,2023-01-01
Entire home/apt,Twin Peaks,37.75816,-122.44681,285.0,2023-05-13
Entire home/apt,Visitacion Valley,37.71124,-122.4039,115.0,2023-04-01
Entire home/apt,South of Market,37.78245,-122.39216,239.0,2023-05-19
Entire home/apt,Western Addition,37.78645,-122.43827,629.0,2023-04-27
Entire home/apt,Marina,37.79802,-122.44187,600.0,2023-05-21
Entire home/apt,Downtown/Civic Center,37.77963,-122.4218,72.0,2023-01-07
Entire home/apt,Noe Valley,37.7507,-122.427,197.0,2023-03-13
Private room,Financial District,37.79738,-122.40479,119.0,2023-06-02
Entire home/apt,Western Addition,37.78514,-122.44361,335.0,2023-05-05
Private room,Inner Richmond,37.78265,-122.46815,65.0,2023-05-22
Entire home/apt,Parkside,37.73639,-122.50403,90.0,2023-05-05
Private room,Noe Valley,37.75384,-122.44114,125.0,2023-04-30
Entire home/apt,Outer Sunset,37.75394,-122.48475,195.0,2023-05-29
Entire home/apt,Bayview,37.73175,-122.39856,135.0,2023-05-20
Private room,Mission,37.7612,-122.41914,77.0,2023-05-28
Private room,Nob Hill,37.79061,-122.42111,100.0,2023-02-09
Private room,Nob Hill,37.79234,-122.42127,130.0,2023-04-01
Entire home/apt,Downtown/Civic Center,37.78853,-122.40964,112.0,2023-04-06
Entire home/apt,Downtown/Civic Center,37.78892,-122.40984,173.0,2023-03-10
Entire home/apt,Haight Ashbury,37.7756,-122.44114,290.0,2023-05-19
Entire home/apt,Nob Hill,37.7905,-122.42071,950.0,2023-05-06
Private room,Downtown/Civic Center,37.78553,-122.40771,65.0,2023-02-19
Private room,Outer Mission,37.72531,-122.43926,275.0,2023-04-24
Entire home/apt,Outer Richmond,37.77819,-122.50385,294.0,2023-05-25
Private room,Pacific Heights,37.79737,-122.42382,120.0,2023-05-03
Entire home/apt,Western Addition,37.7755,-122.42937,125.0,2023-04-30
Entire home/apt,Marina,37.80211,-122.44024,245.0,2023-01-31
Private room,Downtown/Civic Center,37.78732,-122.40773,65.0,2023-04-09
Entire home/apt,Russian Hill,37.80543,-122.42061,800.0,2023-05-10
Entire home/apt,Nob Hill,37.79483,-122.41032,136.0,2023-02-01
Entire home/apt,Russian Hill,37.80109,-122.41385,428.0,2023-05-28
Entire home/apt,West of Twin Peaks,37.74453,-122.46227,130.0,2023-05-29
Private room,Crocker Amazon,37.71186,-122.44505,55.0,2023-01-05
Entire home/apt,South of Market,37.77695,-122.41649,115.0,2023-03-31
Private room,Bayview,37.72823,-122.39253,112.0,2023-04-24
Entire home/apt,Parkside,37.74031,-122.47744,123.0,2023-05-07
Private room,Ocean View,37.71745,-122.45613,150.0,2023-05-07
Entire home/apt,Potrero Hill,37.758205,-122.399689,130.0,2023-06-01
Entire home/apt,South of Market,37.78664,-122.39308,115.0,2023-05-16
Entire home/apt,Parkside,37.74193,-122.49013,157.0,2023-05-22
Entire home/apt,Noe Valley,37.75155,-122.43637,480.0,2023-06-04
Private room,North Beach,37.79933,-122.40594,114.0,2023-05-30
Entire home/apt,Western Addition,37.77773,-122.44181,286.0,2023-05-11
Entire home/apt,Noe Valley,37.74745559692383,-122.4314193725586,389.0,2023-05-28
Private room,Bayview,37.73961,-122.38953,79.0,2023-05-28
Private room,Castro/Upper Market,37.76594543457031,-122.43437957763672,120.0,2023-05-25
Entire home/apt,Glen Park,37.74063,-122.42752,165.0,2023-03-02
Entire home/apt,Mission,37.76196,-122.4216,372.0,2023-04-30
Entire home/apt,Western Addition,37.7879,-122.43821,646.0,2023-04-15
Entire home/apt,Mission,37.76448,-122.42349,186.0,2023-05-30
Entire home/apt,South of Market,37.78763,-122.3887,315.0,2023-01-27
Entire home/apt,Castro/Upper Market,37.75852,-122.4356,259.0,2023-06-01
Private room,Marina,37.79901,-122.42511,149.0,2023-05-07
Private room,Twin Peaks,37.75811,-122.44439,164.0,2023-05-10
Entire home/apt,South of Market,37.77831,-122.41228,180.0,2023-03-23
Private room,West of Twin Peaks,37.73519,-122.46446,44.0,2023-05-19
Private room,Marina,37.80271,-122.44562,135.0,2023-05-15
Entire home/apt,Bernal Heights,37.74647368311309,-122.41022419184446,485.0,2023-05-18
Entire home/apt,Outer Richmond,37.7751592,-122.4808994,300.0,2023-05-08
Private room,Visitacion Valley,37.71159,-122.40027,55.0,2023-05-15
Entire home/apt,Parkside,37.74426,-122.48593,160.0,2023-05-22
Private room,West of Twin Peaks,37.74004,-122.45486,139.0,2023-05-29
Private room,Outer Mission,37.71144,-122.44691,50.0,2023-01-14
Entire home/apt,Inner Sunset,37.7548,-122.4591,123.0,2023-05-18
Entire home/apt,Nob Hill,37.79214,-122.40937,82.0,2023-02-05
Entire home/apt,Pacific Heights,37.790451,-122.440582,623.0,2023-05-22
Private room,Inner Richmond,37.77564,-122.46332,225.0,2023-04-29
Entire home/apt,Inner Sunset,37.7621,-122.47289,106.0,2023-04-05
Entire home/apt,Bernal Heights,37.73525,-122.41725,557.0,2023-04-08
Entire home/apt,Mission,37.75133,-122.41772,225.0,2023-01-29
Private room,Downtown/Civic Center,37.78843,-122.4119,425.0,2023-04-28
Private room,Excelsior,37.72862,-122.42703,75.0,2023-05-26
Entire home/apt,Marina,37.798849,-122.435102,475.0,2023-05-03
Private room,Bernal Heights,37.73941,-122.42113,76.0,2023-05-21
Entire home/apt,Presidio Heights,37.79129,-122.44901,152.0,2023-06-04
Entire home/apt,Western Addition,37.77699,-122.44019,185.0,2023-04-30
Private room,Glen Park,37.74184,-122.42423,92.0,2023-05-08
Entire home/apt,Western Addition,37.77055,-122.4314,296.0,2023-05-19
Private room,Ocean View,37.71923,-122.46321,69.0,2023-06-02
Entire home/apt,Bayview,37.735770985520546,-122.38841027187416,74.0,2023-03-27
Entire home/apt,Inner Sunset,37.75321,-122.47064,205.0,2023-05-06
Entire home/apt,Inner Sunset,37.76389581691145,-122.47389953862306,143.0,2023-05-06
Entire home/apt,Inner Richmond,37.78528,-122.47445,190.0,2023-05-16
Entire home/apt,Castro/Upper Market,37.75769,-122.43891,253.0,2023-05-30
Entire home/apt,Castro/Upper Market,37.76297,-122.42696,165.0,2023-05-21
Entire home/apt,Noe Valley,37.75407,-122.42977,600.0,2023-05-22
Private room,Pacific Heights,37.79706,-122.425,174.0,2023-05-17
Entire home/apt,Mission,37.75625,-122.40951,309.0,2023-05-31
Entire home/apt,West of Twin Peaks,37.72942,-122.46691,101.0,2023-03-15
Entire home/apt,Potrero Hill,37.75857162475586,-122.39645385742188,517.0,2023-04-28
Entire home/apt,Outer Sunset,37.75443,-122.50115,171.0,2023-05-15
Private room,Inner Richmond,37.78458,-122.47719,147.0,2023-04-13
Entire home/apt,South of Market,37.77558,-122.40182,189.0,2023-05-24
Private room,North Beach,37.8054686,-122.4168365,550.0,2023-01-11
Entire home/apt,Visitacion Valley,37.71167,-122.39885,98.0,2023-03-26
Entire home/apt,Russian Hill,37.8047,-122.4234,539.0,2023-05-13
Entire home/apt,Inner Richmond,37.77596,-122.46187,100.0,2023-01-10
Entire home/apt,West of Twin Peaks,37.72775,-122.46422,444.0,2023-02-27
Private room,Excelsior,37.72652,-122.42726,56.0,2023-01-01
Entire home/apt,Potrero Hill,37.75724,-122.39907,158.0,2023-05-21
Hotel room,Pacific Heights,37.79696,-122.42539,150.0,2023-04-12
Entire home/apt,Haight Ashbury,37.77495,-122.44305,145.0,2023-01-23
Private room,North Beach,37.80698,-122.41344,667.0,2023-04-12
Entire home/apt,Noe Valley,37.74648,-122.43035,375.0,2023-05-14
Entire home/apt,Mission,37.74916602507046,-122.40957900659936,854.0,2023-05-10
Entire home/apt,Outer Sunset,37.75916,-122.50689,98.0,2023-03-01
Entire home/apt,Mission,37.76972,-122.41966,198.0,2023-05-14
Private room,Castro/Upper Market,37.75937,-122.43321,360.0,2023-04-30
Entire home/apt,Western Addition,37.77114,-122.43612,325.0,2023-03-30
Entire home/apt,Presidio,37.78763,-122.47201,315.0,2023-04-04
Entire home/apt,Bernal Heights,37.73882,-122.41544,178.0,2023-05-27
Private room,Marina,37.800899505615234,-122.44134521484376,219.0,2023-03-27
Private room,Outer Richmond,37.77901881174357,-122.50375716429164,122.0,2023-05-28
Private room,Outer Mission,37.73119,-122.45014,62.0,2023-03-29
Private room,Western Addition,37.77822,-122.44544,235.0,2023-04-27
Entire home/apt,Downtown/Civic Center,37.78702,-122.40977,111.0,2023-03-17
Entire home/apt,Marina,37.80555,-122.43555,395.0,2023-04-02
Entire home/apt,Noe Valley,37.75165,-122.44043,450.0,2023-05-07
Private room,South of Market,37.77184,-122.42287,99.0,2023-05-28
Entire home/apt,Noe Valley,37.75213,-122.43693,138.0,2023-05-20
Entire home/apt,Nob Hill,37.79102,-122.40921,123.0,2023-02-28
Private room,Haight Ashbury,37.7672,-122.44725,80.0,2023-05-31
Private room,Mission,37.75691,-122.4199,49.0,2023-01-28
Entire home/apt,West of Twin Peaks,37.73152,-122.46188,132.0,2023-05-19
Private room,Twin Peaks,37.75914,-122.44684,108.0,2023-05-26
Entire home/apt,Downtown/Civic Center,37.78807,-122.4095,168.0,2023-02-24
Private room,Marina,37.79908,-122.43774,316.0,2023-05-14
Entire home/apt,Mission,37.75738,-122.41619,139.0,2023-05-24
Entire home/apt,Noe Valley,37.74788,-122.43625,295.0,2023-06-01
Private room,Outer Sunset,37.74834,-122.4921,72.0,2023-05-17
Private room,Mission,37.75254,-122.40497,120.0,2023-05-26
Entire home/apt,Nob Hill,37.79199434480024,-122.41000040316555,214.0,2023-05-29
Entire home/apt,Noe Valley,37.74929,-122.42732,686.0,2023-05-18
Entire home/apt,Castro/Upper Market,37.76624,-122.43058,250.0,2023-04-01
Private room,Western Addition,37.78328,-122.44666,104.0,2023-06-01
Private room,Bernal Heights,37.74349,-122.42139,89.0,2023-05-16
Entire home/apt,Western Addition,37.78108,-122.44051,175.0,2023-03-15
Private room,Bernal Heights,37.74267,-122.40745,140.0,2023-04-12
Entire home/apt,Haight Ashbury,37.77597,-122.44249,164.0,2023-05-17
Entire home/apt,Mission,37.75553,-122.41424,495.0,2023-05-29
Entire home/apt,Western Addition,37.77717,-122.43993,350.0,2023-02-22
Entire home/apt,Inner Richmond,37.77502818830321,-122.45628924873988,215.0,2023-06-04
Entire home/apt,Mission,37.75896,-122.40721,145.0,2023-01-29
Entire home/apt,Potrero Hill,37.75553,-122.39928,325.0,2023-01-01
Entire home/apt,Parkside,37.743069,-122.495781,271.0,2023-05-28
Entire home/apt,Mission,37.76666,-122.42423,200.0,2023-04-24
Entire home/apt,Western Addition,37.77989,-122.43979,86.0,2023-02-02
Entire home/apt,Castro/Upper Market,37.7653,-122.43638,145.0,2023-03-09
Entire home/apt,Nob Hill,37.79174,-122.42082,332.0,2023-05-28
Entire home/apt,Noe Valley,37.75077,-122.43587,173.0,2023-05-19
Entire home/apt,Outer Mission,37.73208666876984,-122.44664919880584,159.0,2023-04-23
Private room,Marina,37.80016,-122.42639,67.0,2023-05-30
Entire home/apt,Haight Ashbury,37.76962,-122.4485,175.0,2023-04-26
Entire home/apt,Noe Valley,37.75024,-122.42752,375.0,2023-05-11
Entire home/apt,Marina,37.79822,-122.44616,78.0,2023-04-01
Entire home/apt,Noe Valley,37.75404,-122.43649,332.0,2023-02-12
Private room,Outer Richmond,37.78094,-122.50516,100.0,2023-05-30
Private room,Presidio Heights,37.782387,-122.455185,144.0,2023-05-30
Entire home/apt,Mission,37.75127,-122.41377,250.0,2023-01-03
Private room,Outer Mission,37.7325,-122.44894,60.0,2023-05-21
Entire home/apt,Castro/Upper Market,37.7664692,-122.4308856,198.0,2023-05-15
Private room,Noe Valley,37.74922,-122.42895,130.0,2023-05-23
Entire home/apt,Parkside,37.74268,-122.47229,199.0,2023-02-21
Private room,Lakeshore,37.73256,-122.49149,73.0,2023-05-28
Private room,Lakeshore,37.73296,-122.49358,77.0,2023-05-28
Entire home/apt,South of Market,37.77874,-122.40215,321.0,2023-06-03
Private room,Potrero Hill,37.75896,-122.39513,141.0,2023-05-27
Entire home/apt,South of Market,37.78291,-122.40786,129.0,2023-01-02
Private room,Western Addition,37.77937,-122.43752,100.0,2023-05-16
Entire home/apt,Nob Hill,37.79437,-122.41736,179.0,2023-05-28
Entire home/apt,Pacific Heights,37.79255,-122.4252,977.0,2023-01-01
Private room,Downtown/Civic Center,37.78567,-122.40828,69.0,2023-05-11
Entire home/apt,Bernal Heights,37.74119,-122.41347,129.0,2023-06-03
Entire home/apt,South of Market,37.77057,-122.41996,307.0,2023-04-09
Entire home/apt,Crocker Amazon,37.71076004257231,-122.43362309501968,93.0,2023-05-29
Entire home/apt,Bernal Heights,37.7373,-122.42548,360.0,2023-04-27
Private room,Outer Sunset,37.75964,-122.48932,126.0,2023-02-19
Private room,Parkside,37.738607681310654,-122.4898916504925,102.0,2023-05-08
Entire home/apt,Castro/Upper Market,37.75655,-122.43645,700.0,2023-05-07
Entire home/apt,Western Addition,37.78946,-122.42328,312.0,2023-05-19
Private room,Bernal Heights,37.74243,-122.42192,92.0,2023-04-29
Private room,Nob Hill,37.792,-122.4193,100.0,2023-01-20
Private room,Downtown/Civic Center,37.78598,-122.40779,67.0,2023-05-21
Private room,Mission,37.75783,-122.41063,55.0,2023-05-25
Entire home/apt,Downtown/Civic Center,37.77823,-122.42125,154.0,2023-05-12
Entire home/apt,Downtown/Civic Center,37.78981,-122.4114,75.0,2023-03-11
Private room,Castro/Upper Market,37.76095,-122.42958,200.0,2023-05-24
Entire home/apt,Mission,37.76937,-122.42275,215.0,2023-01-12
Entire home/apt,Mission,37.7542,-122.41191,212.0,2023-04-08
Entire home/apt,Mission,37.74941,-122.40986,575.0,2023-04-18
Entire home/apt,Parkside,37.74006,-122.4925,115.0,2023-05-21
Entire home/apt,Haight Ashbury,37.76989,-122.44666,215.0,2023-02-28
Entire home/apt,Noe Valley,37.74966,-122.43774,1039.0,2023-05-13
Entire home/apt,Seacliff,37.78247,-122.49269,108.0,2023-05-25
Entire home/apt,Mission,37.76919,-122.42515,599.0,2023-03-11
Private room,South of Market,37.77833,-122.39121,389.0,2023-05-21
Private room,Downtown/Civic Center,37.783945682628065,-122.40869937718509,113.0,2023-05-20
Private room,Downtown/Civic Center,37.78895,-122.41131,175.0,2023-04-05
Hotel room,Downtown/Civic Center,37.78856,-122.41952,110.0,2023-02-12
Entire home/apt,Parkside,37.74486,-122.49064,164.0,2023-05-28
Entire home/apt,Castro/Upper Market,37.7673,-122.44015,195.0,2023-05-20
Entire home/apt,Western Addition,37.77186,-122.42405,141.0,2023-03-06
Private room,South of Market,37.77983,-122.39801,144.0,2023-05-08
Entire home/apt,Potrero Hill,37.75179,-122.40111,243.0,2023-05-24
Private room,Outer Sunset,37.76025,-122.48143,71.0,2023-04-19
Entire home/apt,Downtown/Civic Center,37.78666,-122.4093,303.0,2023-04-28
Private room,Castro/Upper Market,37.76342,-122.4327,154.0,2023-05-19
Private room,Mission,37.75912411221477,-122.41687023445624,161.0,2023-05-21
Entire home/apt,Parkside,37.74001,-122.49544,210.0,2023-04-15
Private room,Parkside,37.73916,-122.48015,101.0,2023-05-20
Private room,Outer Mission,37.73234,-122.44256,106.0,2023-05-27
Private room,Financial District,37.78835,-122.40489,141.0,2023-05-30
Entire home/apt,Outer Sunset,37.75518,-122.50224,157.0,2023-05-31
Private room,Ocean View,37.72144,-122.46622,90.0,2023-04-26
Entire home/apt,Bernal Heights,37.73504,-122.41401,185.0,2023-04-03
Private room,Outer Richmond,37.78056,-122.48703,71.0,2023-04-29
Private room,Downtown/Civic Center,37.78508332884167,-122.41066245492898,119.0,2023-05-17
Private room,Castro/Upper Market,37.76509,-122.43168,200.0,2023-05-21
Private room,Outer Mission,37.71831028018746,-122.44760119652688,39.0,2023-04-20
Entire home/apt,Parkside,37.74228,-122.50415,147.0,2023-05-25
Private room,Outer Sunset,37.764572,-122.479607,79.0,2023-05-18
Private room,Mission,37.74795,-122.42423,94.0,2023-01-02
Entire home/apt,Lakeshore,37.731349315915885,-122.4964040856994,165.0,2023-05-23
Entire home/apt,Haight Ashbury,37.76799,-122.44947,712.0,2023-04-26
Private room,Western Addition,37.78922935864733,-122.42242097091643,99.0,2023-04-04
Entire home/apt,Noe Valley,37.74891,-122.43194,231.0,2023-04-16
Private room,Mission,37.75065,-122.42449,220.0,2023-05-24
Entire home/apt,Pacific Heights,37.78842,-122.4409,914.0,2023-05-21
Hotel room,Downtown/Civic Center,37.7885,-122.41404,179.0,2023-05-10
Private room,Chinatown,37.79253,-122.40444,105.0,2023-03-24
Entire home/apt,Parkside,37.7386,-122.50684,150.0,2023-01-21
Private room,Noe Valley,37.75007,-122.42532,200.0,2023-03-25
Entire home/apt,Outer Sunset,37.75287,-122.50726,200.0,2023-03-02
Entire home/apt,Outer Sunset,37.76292,-122.50357,100.0,2023-05-21
Entire home/apt,Parkside,37.74383,-122.48633,239.0,2023-06-01
Private room,Western Addition,37.77157,-122.42977,71.0,2023-05-31
Hotel room,Russian Hill,37.7992,-122.42358,117.0,2023-05-18
Private room,Western Addition,37.78069,-122.43167,65.0,2023-02-03
Private room,Castro/Upper Market,37.75932,-122.43759,135.0,2023-05-26
Entire home/apt,Crocker Amazon,37.71094,-122.43134,239.0,2023-05-29
Entire home/apt,Outer Sunset,37.75929,-122.48685,98.0,2023-03-12
Entire home/apt,Outer Richmond,37.77551,-122.48725,298.0,2023-05-14
Private room,Outer Mission,37.72401,-122.44045,44.0,2023-05-25
Private room,Downtown/Civic Center,37.78741,-122.40814,67.0,2023-02-20
Entire home/apt,Haight Ashbury,37.76457,-122.45057,273.0,2023-02-24
Private room,West of Twin Peaks,37.7284095,-122.4575383,57.0,2023-01-27
Entire home/apt,Lakeshore,37.736842,-122.4875902,199.0,2023-05-21
Entire home/apt,Mission,37.75186,-122.40847,495.0,2023-05-22
Private room,Outer Richmond,37.77315,-122.50656,67.0,2023-06-01
Private room,Parkside,37.74351,-122.47472,114.0,2023-03-26
Private room,Western Addition,37.788260630962576,-122.43215210312844,121.0,2023-06-04
Entire home/apt,West of Twin Peaks,37.73612,-122.45461,204.0,2023-05-21
Private room,Western Addition,37.77296,-122.42525,109.0,2023-05-13
Entire home/apt,Castro/Upper Market,37.75908,-122.43516,993.0,2023-04-01
Hotel room,South of Market,37.77963,-122.41298,110.0,2023-01-01
Private room,Western Addition,37.78487,-122.44063,64.0,2023-04-27
Private room,Presidio,37.801,-122.44779,155.0,2023-06-02
Entire home/apt,Pacific Heights,37.791873931884766,-122.4240493774414,721.0,2023-04-22
Entire home/apt,Inner Richmond,37.78075,-122.47332,875.0,2023-04-17
Entire home/apt,Outer Sunset,37.75618,-122.50657,141.0,2023-05-28
Entire home/apt,Inner Richmond,37.78002,-122.45598,262.0,2023-05-28
Private room,Haight Ashbury,37.76726,-122.44599,125.0,2023-05-27
Private room,Pacific Heights,37.79308992458561,-122.44256431468304,208.0,2023-05-16
Entire home/apt,Western Addition,37.77331,-122.42593,253.0,2023-05-16
Private room,Chinatown,37.7907,-122.40632,206.0,2023-05-20
Entire home/apt,Downtown/Civic Center,37.77946,-122.42291,165.0,2023-04-25
Entire home/apt,Castro/Upper Market,37.75927,-122.4308,320.0,2023-05-27
Private room,Inner Sunset,37.76514,-122.46098,139.0,2023-05-20
Entire home/apt,Western Addition,37.77743,-122.42502,120.0,2023-05-26
Entire home/apt,Diamond Heights,37.74325,-122.43756,359.0,2023-05-17
Entire home/apt,Diamond Heights,37.73666,-122.44309,525.0,2023-04-05
Entire home/apt,Western Addition,37.78321,-122.43556,169.0,2023-05-16
Entire home/apt,Excelsior,37.72358,-122.4176,104.0,2023-05-30
Entire home/apt,Western Addition,37.78796,-122.43105,125.0,2023-04-22
Entire home/apt,Outer Mission,37.71586,-122.44468,108.0,2023-06-01
Entire home/apt,Western Addition,37.77064,-122.42554,58.0,2023-05-27
Entire home/apt,Western Addition,37.78031,-122.4354,185.0,2023-05-25
Entire home/apt,Downtown/Civic Center,37.78889,-122.41131,265.0,2023-04-06
Private room,Outer Sunset,37.7613229,-122.4965406,139.0,2023-05-28
Entire home/apt,Twin Peaks,37.74932,-122.44706,359.0,2023-05-21
